category,dept
STEM,BIOCHEMISTRY & BIOPHYSICS
STEM,CHEMISTRY
STEM,COMPUTER SCIENCE
STEM,"ECOLOGY,EVOLUTION & ORG BIOLOGY"
Humanities & Social Sciences,ECONOMICS
Humanities & Social Sciences,ENGLISH
STEM,GENETICS DEVELOPMENT & CELL BIOLOGY
STEM,GEOLOGICAL & ATMOSPHERIC SCIENCES
Humanities & Social Sciences,GREENLEE SCHOOL JOURNALISM/COMMUNICATION
Humanities & Social Sciences,HISTORY
STEM,MATHEMATICS
Humanities & Social Sciences,MUSIC
Humanities & Social Sciences,PHILOSOPHY
STEM,PHYSICS & ASTRONOMY
Humanities & Social Sciences,POLITICAL SCIENCE
Humanities & Social Sciences,PSYCHOLOGY
Humanities & Social Sciences,SOCIOLOGY
STEM,STATISTICS
Humanities & Social Sciences,WORLD LANGUAGES & CULTURES